sample_id,video_id,clip_id,text_chars,label,annotation,source_video_path,resolved_video_path,source_sha256,output_npz,metadata_json,word_count,audio_frames,audio_valid_frames,vision_samples,vision_valid_samples,audio_observed_word_ratio,vision_observed_word_ratio,alignment_mean_confidence,alignment_low_confidence_words,text_fallback_words,alignment_interval_valid,nan_count,inf_count,status,error
-3g5yACwYnA$_$13,-3g5yACwYnA,13,80,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\13.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,artifacts/q1/final_100/features/-3g5yACwYnA__13.npz,artifacts/q1/final_100/metadata/-3g5yACwYnA__13.json,15,538,175,28,28,1.0,0.9333333333333333,0.7455129027366638,0,0,True,0,0,ok,
-3g5yACwYnA$_$3,-3g5yACwYnA,3,173,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\3.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,artifacts/q1/final_100/features/-3g5yACwYnA__3.npz,artifacts/q1/final_100/metadata/-3g5yACwYnA__3.json,29,1431,645,72,72,1.0,1.0,0.7231878638267517,0,0,True,0,0,ok,
-3g5yACwYnA$_$2,-3g5yACwYnA,2,85,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\2.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,artifacts/q1/final_100/features/-3g5yACwYnA__2.npz,artifacts/q1/final_100/metadata/-3g5yACwYnA__2.json,14,921,493,47,47,1.0,1.0,0.7391787171363831,0,0,True,0,0,ok,
-3g5yACwYnA$_$9,-3g5yACwYnA,9,139,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\9.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,artifacts/q1/final_100/features/-3g5yACwYnA__9.npz,artifacts/q1/final_100/metadata/-3g5yACwYnA__9.json,21,868,374,44,44,1.0,1.0,0.7297875285148621,0,0,True,0,0,ok,
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,104,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3nNcZdcdvU\5.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,artifacts/q1/final_100/features/-3nNcZdcdvU__5.npz,artifacts/q1/final_100/metadata/-3nNcZdcdvU__5.json,18,777,606,40,40,1.0,1.0,0.7118693590164185,0,0,True,0,0,ok,
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,48,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,artifacts/q1/final_100/features/-HwX2H8Z4hY__2.npz,artifacts/q1/final_100/metadata/-HwX2H8Z4hY__2.json,7,390,101,20,17,1.0,1.0,0.7201444506645203,0,0,True,0,0,ok,
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,74,-1.0,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,artifacts/q1/final_100/features/-HwX2H8Z4hY__5.npz,artifacts/q1/final_100/metadata/-HwX2H8Z4hY__5.json,9,552,289,28,9,1.0,0.4444444444444444,0.7696290612220764,0,0,True,0,0,ok,
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,31,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,artifacts/q1/final_100/features/-HwX2H8Z4hY__6.npz,artifacts/q1/final_100/metadata/-HwX2H8Z4hY__6.json,7,324,110,17,10,1.0,0.8571428571428571,0.8132791519165039,0,0,True,0,0,ok,
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,119,-0.3333333432674408,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,artifacts/q1/final_100/features/-HwX2H8Z4hY__9.npz,artifacts/q1/final_100/metadata/-HwX2H8Z4hY__9.json,22,762,550,39,28,1.0,0.8181818181818182,0.7295240759849548,0,0,True,0,0,ok,
-NFrJFQijFE$_$1,-NFrJFQijFE,1,93,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\1.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,artifacts/q1/final_100/features/-NFrJFQijFE__1.npz,artifacts/q1/final_100/metadata/-NFrJFQijFE__1.json,16,564,285,29,0,1.0,0.0,0.7054808139801025,0,0,True,0,0,ok,
-NFrJFQijFE$_$2,-NFrJFQijFE,2,100,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\2.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1,artifacts/q1/final_100/features/-NFrJFQijFE__2.npz,artifacts/q1/final_100/metadata/-NFrJFQijFE__2.json,18,668,321,34,17,1.0,0.5,0.675899088382721,0,0,True,0,0,ok,
-THoVjtIkeU$_$12,-THoVjtIkeU,12,207,2.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\12.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4,artifacts/q1/final_100/features/-THoVjtIkeU__12.npz,artifacts/q1/final_100/metadata/-THoVjtIkeU__12.json,39,1479,831,75,74,1.0,1.0,0.7199738621711731,0,0,True,0,0,ok,
-THoVjtIkeU$_$2,-THoVjtIkeU,2,63,1.3333333730697632,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\2.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b,artifacts/q1/final_100/features/-THoVjtIkeU__2.npz,artifacts/q1/final_100/metadata/-THoVjtIkeU__2.json,10,421,215,22,20,1.0,1.0,0.7482818365097046,0,0,True,0,0,ok,
-THoVjtIkeU$_$6,-THoVjtIkeU,6,150,2.6666667461395264,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\6.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64,artifacts/q1/final_100/features/-THoVjtIkeU__6.npz,artifacts/q1/final_100/metadata/-THoVjtIkeU__6.json,30,796,483,41,37,1.0,0.9,0.7172694802284241,0,0,True,0,0,ok,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,148,1.6666666269302368,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\1.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c,artifacts/q1/final_100/features/-UuX1xuaiiE__1.npz,artifacts/q1/final_100/metadata/-UuX1xuaiiE__1.json,27,1025,630,52,52,1.0,1.0,0.7310999631881714,0,0,True,0,0,ok,
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,55,2.6666667461395264,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\0.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8,artifacts/q1/final_100/features/-UuX1xuaiiE__0.npz,artifacts/q1/final_100/metadata/-UuX1xuaiiE__0.json,9,356,229,19,19,1.0,1.0,0.7117555737495422,0,0,True,0,0,ok,
