sample_id,video_id,phrase_index,endpoint,text,asr_s,current_s,git_s,current_abs_difference_s,git_abs_difference_s
-3g5yACwYnA$_$13,-3g5yACwYnA,0,start,They've been able ,1.18,0.0,0.4000000059604645,1.18,0.7799999940395355
-3g5yACwYnA$_$13,-3g5yACwYnA,0,end,They've been able ,1.9,0.6399999856948853,1.4500000476837158,1.2600000143051147,0.4499999523162841
-3g5yACwYnA$_$13,-3g5yACwYnA,1,start,to find solutions or at least bring some ,1.9,1.1200000047683716,1.4500000476837158,0.7799999952316283,0.4499999523162841
-3g5yACwYnA$_$13,-3g5yACwYnA,1,end,to find solutions or at least bring some ,4.0,4.010000228881836,4.199999809265137,0.010000228881835938,0.19999980926513672
-3g5yACwYnA$_$13,-3g5yACwYnA,2,start,answers to the table.,4.0,4.010000228881836,4.199999809265137,0.010000228881835938,0.19999980926513672
-3g5yACwYnA$_$13,-3g5yACwYnA,2,end,answers to the table.,4.82,4.869999885559082,5.349999904632568,0.04999988555908175,0.5299999046325681
-3g5yACwYnA$_$2,-3g5yACwYnA,2,start,our operation that we don't have internally.,5.4,4.75,3.9000000953674316,0.6500000000000004,1.4999999046325687
-3g5yACwYnA$_$2,-3g5yACwYnA,2,end,our operation that we don't have internally.,7.66,7.679999828338623,9.149999618530273,0.019999828338622905,1.4899996185302733
-3g5yACwYnA$_$3,-3g5yACwYnA,0,start,We're a huge user ,0.0,0.5099999904632568,0.3499999940395355,0.5099999904632568,0.3499999940395355
-3g5yACwYnA$_$3,-3g5yACwYnA,0,end,We're a huge user ,2.9,1.6799999475479126,1.75,1.2200000524520873,1.15
-3g5yACwYnA$_$3,-3g5yACwYnA,1,start,of adhesives ,2.9,2.1700000762939453,1.75,0.7299999237060546,1.15
-3g5yACwYnA$_$3,-3g5yACwYnA,1,end,of adhesives ,3.6,3.6600000858306885,2.4000000953674316,0.06000008583068839,1.1999999046325684
-3g5yACwYnA$_$3,-3g5yACwYnA,2,start,"for our operation, ",3.6,4.230000019073486,2.4000000953674316,0.6300000190734862,1.1999999046325684
-3g5yACwYnA$_$3,-3g5yACwYnA,2,end,"for our operation, ",5.2,5.269999980926514,4.199999809265137,0.0699999809265135,1.0000001907348635
-3g5yACwYnA$_$3,-3g5yACwYnA,3,start,"called flocking, ",5.2,5.630000114440918,4.199999809265137,0.4300001144409178,1.0000001907348635
-3g5yACwYnA$_$3,-3g5yACwYnA,3,end,"called flocking, ",6.18,6.289999961853027,5.449999809265137,0.10999996185302763,0.730000190734863
-3g5yACwYnA$_$3,-3g5yACwYnA,4,start,and we don't have the technical inside ,6.18,6.409999847412109,5.449999809265137,0.22999984741210966,0.730000190734863
-3g5yACwYnA$_$3,-3g5yACwYnA,4,end,and we don't have the technical inside ,8.66,8.770000457763672,8.449999809265137,0.11000045776367173,0.21000019073486342
-3g5yACwYnA$_$3,-3g5yACwYnA,5,start,compounding or the technical expertise to do these ,8.96,9.369999885559082,8.449999809265137,0.4099998855590812,0.5100001907348641
-3g5yACwYnA$_$3,-3g5yACwYnA,5,end,compounding or the technical expertise to do these ,11.74,11.710000038146973,13.149999618530273,0.029999961853027557,1.4099996185302732
-3g5yACwYnA$_$3,-3g5yACwYnA,6,start,types of things.,11.74,11.710000038146973,13.149999618530273,0.029999961853027557,1.4099996185302732
-3g5yACwYnA$_$3,-3g5yACwYnA,6,end,types of things.,12.46,12.34000015258789,14.25,0.11999984741211023,1.7899999999999991
-3g5yACwYnA$_$9,-3g5yACwYnA,0,start,We have many new opportunities through ,0.34,0.6100000143051147,0.15000000596046448,0.2700000143051147,0.18999999403953555
-3g5yACwYnA$_$9,-3g5yACwYnA,0,end,We have many new opportunities through ,3.02,2.8399999141693115,2.8499999046325684,0.1800000858306885,0.17000009536743166
-3g5yACwYnA$_$9,-3g5yACwYnA,1,start,"the way things have changed through the years, ",3.02,3.359999895095825,2.8499999046325684,0.3399998950958252,0.17000009536743166
-3g5yACwYnA$_$9,-3g5yACwYnA,1,end,"the way things have changed through the years, ",5.22,4.980000019073486,5.449999809265137,0.23999998092651342,0.22999980926513697
-3g5yACwYnA$_$9,-3g5yACwYnA,2,start,"looking for new niche high-end, ",5.46,5.429999828338623,5.449999809265137,0.030000171661376918,0.010000190734863246
-3g5yACwYnA$_$9,-3g5yACwYnA,2,end,"looking for new niche high-end, ",7.08,7.039999961853027,7.25,0.04000003814697273,0.16999999999999993
-3g5yACwYnA$_$9,-3g5yACwYnA,3,start,value-added products.,7.08,7.039999961853027,7.25,0.04000003814697273,0.16999999999999993
-3g5yACwYnA$_$9,-3g5yACwYnA,3,end,value-added products.,8.0,8.140000343322754,8.449999809265137,0.1400003433227539,0.4499998092651367
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0,start,Noncompliance can result in legal liability ,0.0,0.47999998927116394,0.0,0.47999998927116394,0.0
-3nNcZdcdvU$_$5,-3nNcZdcdvU,0,end,Noncompliance can result in legal liability ,3.66,4.510000228881836,2.799999952316284,0.8500002288818358,0.860000047683716
-3nNcZdcdvU$_$5,-3nNcZdcdvU,1,start,to you and to the school district in ,3.66,4.510000228881836,2.799999952316284,0.8500002288818358,0.860000047683716
-3nNcZdcdvU$_$5,-3nNcZdcdvU,1,end,to you and to the school district in ,6.3,6.239999771118164,5.75,0.06000022888183576,0.5499999999999998
-3nNcZdcdvU$_$5,-3nNcZdcdvU,2,start,which you are employed.,6.3,6.239999771118164,5.75,0.06000022888183576,0.5499999999999998
-3nNcZdcdvU$_$5,-3nNcZdcdvU,2,end,which you are employed.,7.16,7.190000057220459,7.400000095367432,0.030000057220458842,0.2400000953674315
-571d8cVauQ$_$0,-571d8cVauQ,1,start,White Caspian Studios on behalf of Expert Village.,2.04,1.909999966621399,1.75,0.1300000333786011,0.29000000000000004
-571d8cVauQ$_$0,-571d8cVauQ,1,end,White Caspian Studios on behalf of Expert Village.,4.42,4.489999771118164,4.449999809265137,0.06999977111816413,0.02999980926513679
-571d8cVauQ$_$5,-571d8cVauQ,0,start,So very important to go out ,0.0,0.5199999809265137,0.0,0.5199999809265137,0.0
-571d8cVauQ$_$5,-571d8cVauQ,0,end,So very important to go out ,2.18,2.0799999237060547,1.5499999523162842,0.10000007629394547,0.630000047683716
-571d8cVauQ$_$5,-571d8cVauQ,1,start,"to the locations, ",2.18,2.5,1.5499999523162842,0.31999999999999984,0.630000047683716
-571d8cVauQ$_$5,-571d8cVauQ,1,end,"to the locations, ",3.38,3.4600000381469727,2.950000047683716,0.08000003814697276,0.4299999523162841
-571d8cVauQ$_$5,-571d8cVauQ,2,start,"walk around, ",4.02,3.6600000858306885,2.950000047683716,0.3599999141693111,1.0699999523162838
-571d8cVauQ$_$5,-571d8cVauQ,2,end,"walk around, ",4.5,4.510000228881836,3.75,0.010000228881835938,0.75
-571d8cVauQ$_$5,-571d8cVauQ,3,start,"talk with the owners if you can, ",4.86,4.699999809265137,3.75,0.1600001907348636,1.1100000000000003
-571d8cVauQ$_$5,-571d8cVauQ,3,end,"talk with the owners if you can, ",6.2,6.179999828338623,5.949999809265137,0.02000017166137713,0.25000019073486346
-571d8cVauQ$_$5,-571d8cVauQ,4,start,"tell them what you're doing, ",6.62,6.5,5.949999809265137,0.1200000000000001,0.6700001907348634
-571d8cVauQ$_$5,-571d8cVauQ,4,end,"tell them what you're doing, ",7.4,7.440000057220459,7.900000095367432,0.04000005722045863,0.5000000953674313
-571d8cVauQ$_$5,-571d8cVauQ,5,start,"build a little excitement, ",7.86,7.670000076293945,7.900000095367432,0.189999923706055,0.04000009536743132
-571d8cVauQ$_$5,-571d8cVauQ,5,end,"build a little excitement, ",8.74,8.880000114440918,9.699999809265137,0.14000011444091776,0.9599998092651365
-571d8cVauQ$_$5,-571d8cVauQ,6,start,put a little glitz on there ,9.46,9.40999984741211,9.699999809265137,0.05000015258789148,0.23999980926513587
-571d8cVauQ$_$5,-571d8cVauQ,6,end,put a little glitz on there ,10.74,10.729999542236328,11.850000381469727,0.010000457763672088,1.1100003814697263
-571d8cVauQ$_$5,-571d8cVauQ,8,start,this is a very valuable spot.,12.32,12.729999542236328,13.25,0.40999954223632784,0.9299999999999997
-571d8cVauQ$_$5,-571d8cVauQ,8,end,this is a very valuable spot.,14.54,15.115,14.800000190734863,0.5750000000000011,0.26000019073486413
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0,start,Many people are not until they get to ,0.54,0.4699999988079071,0.0,0.07000000119209293,0.54
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,0,end,Many people are not until they get to ,2.42,2.3399999141693115,3.25,0.0800000858306884,0.8300000000000001
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,1,start,be a ,2.42,2.3399999141693115,3.25,0.0800000858306884,0.8300000000000001
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,1,end,be a ,2.72,2.7300000190734863,3.5999999046325684,0.010000019073486133,0.8799999046325682
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,3,start,wasted a lot of time and money in ,5.94,5.869999885559082,6.550000190734863,0.07000011444091836,0.6100001907348629
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,3,end,wasted a lot of time and money in ,8.7,7.619999885559082,9.050000190734863,1.0800001144409173,0.350000190734864
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,4,start,placing bets on stock ,8.7,8.170000076293945,9.050000190734863,0.529999923706054,0.350000190734864
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,4,end,placing bets on stock ,10.46,10.100000381469727,10.649999618530273,0.3599996185302743,0.18999961853027258
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,5,start,that's ultimately lost value.,10.46,10.510000228881836,10.649999618530273,0.050000228881835085,0.18999961853027258
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,5,end,that's ultimately lost value.,12.2,12.1899995803833,12.300000190734863,0.010000419616698508,0.10000019073486399
-9y-fZ3swSY$_$0,-9y-fZ3swSY,1,start,"you can say, ",0.0,0.1899999976158142,0.20000000298023224,0.1899999976158142,0.20000000298023224
-9y-fZ3swSY$_$0,-9y-fZ3swSY,1,end,"you can say, ",0.66,0.6700000166893005,0.800000011920929,0.010000016689300506,0.14000001192092892
-9y-fZ3swSY$_$0,-9y-fZ3swSY,2,start,hey ,0.66,0.6700000166893005,0.800000011920929,0.010000016689300506,0.14000001192092892
-9y-fZ3swSY$_$0,-9y-fZ3swSY,2,end,hey ,1.5,1.1799999475479126,1.0,0.3200000524520874,0.5
-9y-fZ3swSY$_$0,-9y-fZ3swSY,5,start,they don’t have any hair on their face,4.6,4.639999866485596,4.25,0.03999986648559606,0.34999999999999964
-9y-fZ3swSY$_$0,-9y-fZ3swSY,5,end,they don’t have any hair on their face,6.24,6.269999980926514,6.699999809265137,0.02999998092651346,0.4599998092651365
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0,start,That’s a more decent and more polite way ,0.0,0.5199999809265137,0.15000000596046448,0.5199999809265137,0.15000000596046448
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0,end,That’s a more decent and more polite way ,3.18,3.140000104904175,3.5999999046325684,0.039999895095825355,0.4199999046325682
-9y-fZ3swSY$_$8,-9y-fZ3swSY,1,start,to call a lady,3.18,3.2100000381469727,3.5999999046325684,0.030000038146972496,0.4199999046325682
-9y-fZ3swSY$_$8,-9y-fZ3swSY,1,end,to call a lady,4.38,4.449999809265137,4.900000095367432,0.06999980926513683,0.5200000953674317
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,1,start,"Spot Therapy Brush, ",2.58,3.0299999713897705,3.5,0.44999997138977044,0.9199999999999999
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,1,end,"Spot Therapy Brush, ",4.5,4.239999771118164,5.150000095367432,0.26000022888183594,0.6500000953674316
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,start,"this gentle, ",5.08,4.949999809265137,5.150000095367432,0.13000019073486335,0.07000009536743157
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,end,"this gentle, ",5.6,5.550000190734863,6.550000190734863,0.049999809265136363,0.9500001907348636
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,3,start,Ph balanced and hydrating exfoliant ,5.6,5.550000190734863,6.550000190734863,0.049999809265136363,0.9500001907348636
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,3,end,Ph balanced and hydrating exfoliant ,8.32,8.25,9.449999809265137,0.07000000000000028,1.1299998092651364
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,7,start,"deliver intense healing, ",15.88,15.9399995803833,15.600000381469727,0.0599995803833,0.2799996185302742
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,7,end,"deliver intense healing, ",17.42,17.299999237060547,17.299999237060547,0.12000076293945483,0.12000076293945483
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,8,start,while smooth granules buff away ,17.86,17.809999465942383,17.299999237060547,0.05000053405761662,0.5600007629394526
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,8,end,while smooth granules buff away ,19.8,19.729999542236328,20.049999237060547,0.07000045776367259,0.24999923706054616
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,9,start,"dead, ",19.8,20.1200008392334,20.049999237060547,0.3200008392333977,0.24999923706054616
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,9,end,"dead, ",20.4,20.389999389648438,20.450000762939453,0.010000610351561079,0.050000762939454546
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,10,start,dry skin cells.,20.4,20.700000762939453,20.450000762939453,0.30000076293945455,0.050000762939454546
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,10,end,dry skin cells.,21.74,22.404563,22.200000762939453,0.6645630000000011,0.4600007629394547
-HeZS2-Prhc$_$2,-HeZS2-Prhc,0,start,The ,1.64,0.0,0.10000000149011612,1.64,1.5399999985098838
-HeZS2-Prhc$_$2,-HeZS2-Prhc,0,end,The ,1.88,0.5299999713897705,0.550000011920929,1.3500000286102294,1.329999988079071
-HeZS2-Prhc$_$2,-HeZS2-Prhc,1,start,August jobs report is out and it was ,1.88,1.2200000286102295,0.550000011920929,0.6599999713897704,1.329999988079071
-HeZS2-Prhc$_$2,-HeZS2-Prhc,1,end,August jobs report is out and it was ,4.44,4.429999828338623,4.449999809265137,0.010000171661377344,0.009999809265136328
