sample_id,video_id,clip_id,text,text_chars,label,annotation,source_video_path,file_exists,file_size_bytes,ffprobe_ok,video_stream_count,audio_stream_count,video_codec,width,height,frame_rate,audio_codec,sample_rate,channels,duration_sec,full_decode_ok,text_nonempty,label_valid,annotation_valid,annotation_consistent,quality_status,exclusion_reasons,probe_error,decode_error
-3g5yACwYnA$_$13,-3g5yACwYnA,13,They've been able to find solutions or at least bring some answers to the table.,80,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\13.mp4,True,1052449,True,1,1,h264,1280,720,30/1,aac,44100,2,5.513997,True,True,True,True,True,qualified,,,
-3g5yACwYnA$_$3,-3g5yACwYnA,3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",173,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\3.mp4,True,2322206,True,1,1,h264,1280,720,30/1,aac,44100,2,14.388997,True,True,True,True,True,qualified,,,
-3g5yACwYnA$_$2,-3g5yACwYnA,2,Key Polymer brings a technical aspect to our operation that we don't have internally.,85,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\2.mp4,True,1752558,True,1,1,h264,1280,720,30/1,aac,44100,2,9.39401,True,True,True,True,True,qualified,,,
-3g5yACwYnA$_$9,-3g5yACwYnA,9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",139,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3g5yACwYnA\9.mp4,True,1938491,True,1,1,h264,1280,720,30/1,aac,44100,2,8.816992,True,True,True,True,True,qualified,,,
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,104,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-3nNcZdcdvU\5.mp4,True,336985,True,1,1,h264,320,240,30/1,aac,44100,1,7.867969,True,True,True,True,True,qualified,,,
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,"” [President Ronald Reagan:] ""Look at the record",48,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\2.mp4,True,958873,True,1,1,h264,1280,720,30/1,aac,44100,2,3.982031,True,True,True,True,True,qualified,,,
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,""" President Ronald Reagan blamed the professional bureaucracy of education",74,-1.0,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\5.mp4,True,1617346,True,1,1,h264,1280,720,30/1,aac,44100,2,5.652995,True,True,True,True,True,qualified,,,
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,"And in part, Al Shanker did too",31,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\6.mp4,True,978678,True,1,1,h264,1280,720,30/1,aac,44100,2,3.358008,True,True,True,True,True,qualified,,,
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,119,-0.3333333432674408,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-HwX2H8Z4hY\9.mp4,True,981914,True,1,1,h264,1280,720,30/1,aac,44100,2,7.733984,True,True,True,True,True,qualified,,,
-NFrJFQijFE$_$1,-NFrJFQijFE,1,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,93,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\1.mp4,True,1024510,True,1,1,h264,1280,720,25/1,aac,44100,2,5.746,True,True,True,True,True,qualified,,,
